Id,IdTipoIdentificacion,NumeroIdentificacion,Email,Nombres,Apellidos,FechaNacimiento,IdGenero,NumeroTelefono,ValorTransaccion,ValorDescuento,ValorImpuesto,ValorAdmon,Serie,IdTramite,Tramite,Clasificacion,Categoria,SegundaCategoria,IdEstado,Estado,FechaHoraOperacion,IdOrigen,NombreOrigen
319265,1,2134545,pasaporte_1@yopmail.com,liz ,Marley,'1991-12-12',1,3213450987,232565,6400,82705,10127,846000840350685,1,PrimeraVez,317013,A2,,2,Activo,'2021-09-16 10:03:16.017',4,Dea
319271,1,79658128,gramos@yopmail.com,Martina Harletty,Ramos Gutierrez,'1990-01-17',2,3142350558,101979,6100,28917,6962,994000591784237,1,PrimeraVez,317014,B1,,6,Referencia Vencida,'2023-11-18 00:55:01.417',2,Cocacola
319272,1,79658128,gramos@yopmail.com,Martina Harletty,Ramos Gutierrez,'1990-01-17',2,3142350558,101979,6100,28917,6962,936000795291619,1,PrimeraVez,317015,B1,,2,Activo,'2021-09-24 11:56:13.063',2,Cocacola
319273,2,S545454,clientecrc@yopmail.com,Martina,Moreno,'1989-09-09',1,3104444319,149232,6400,82705,10127,844000166796638,1,PrimeraVez,317016,B1,,2,Activo,'2021-09-24 15:06:10.310',4,Dea
319275,5,EE989898,clientecrc@yopmail.com,Andrea,Moreno,'1988-08-08',2,3104444319,149132,6300,82705,10127,874001951248424,1,PrimeraVez,317017,A2,,4,Usado,'2021-09-27 09:34:17.543',4,Dea
319302,5,A283848,clientecrc@yopmail.com,Martina,Argos,'1990-10-10',1,3104444319,149232,6400,82705,10127,819001803520624,1,PrimeraVez,317018,B1,,2,Activo,'2021-09-27 16:02:11.050',4,Dea
319303,5,A75395236,cleotilde@yopmail.com,Juan,Prtez,'2000-10-10',1,3112206118,232365,6200,82705,10127,813000730251425,1,PrimeraVez,317019,B1,,6,Referencia Vencida,'2023-11-18 00:55:01.417',4,Dea
319309,5,AA75395236,cleotilde@yopmail.com,Juan,Prtez,'2000-10-10',1,3112206118,232365,6200,82705,10127,834001749168564,1,PrimeraVez,317020,B1,,2,Activo,'2021-09-27 16:41:13.970',4,Dea
319309,5,AA75395236,cleotilde@yopmail.com,Juan,Prtez,'2000-10-10',1,3112206118,232365,6200,82705,10127,834001749168564,1,PrimeraVez,317021,B1,,2,Activo,'2021-09-27 16:41:13.970',4,Dea
319315,5,QQ898989,clientecrc@yopmail.com,Carlos,Lopez,'1989-09-09',1,3104444319,899232,6400,82705,10127,887000193022211,1,PrimeraVez,317022,B1,,3,Anulado,'2021-09-27 16:51:12.420',4,Dea
319315,5,QQ898989,clientecrc@yopmail.com,Carlos,Lopez,'1989-09-09',1,3104444319,899232,6400,82705,10127,887000193022211,1,PrimeraVez,317023,B1,,3,Anulado,'2021-09-27 16:51:12.420',4,Dea
319316,2,ME525252,clientecrc@yopmail.com,Andrea,Lopez,'2000-02-02',2,3104444319,898832,6000,82705,10127,835000990702989,1,PrimeraVez,317024,A1,,3,Anulado,'2021-09-27 17:39:27.033',4,Dea
319316,2,ME525252,clientecrc@yopmail.com,Andrea,Lopez,'2000-02-02',2,3104444319,898832,6000,82705,10127,835000990702989,1,PrimeraVez,317025,A1,,3,Anulado,'2021-09-27 17:39:27.033',4,Dea
319317,1,51888999,clientecrc@yopmail.com,Martina,Velez,'2000-01-01',2,3104444319,898832,6000,82705,10127,806000806064071,1,PrimeraVez,317026,A2,,2,Activo,'2021-09-27 18:08:12.353',4,Dea
319318,5,12D12D12D1,ramon.valdez@yopmail.com,ramon,valdez,'2000-12-12',1,3104444319,899032,6200,82705,10127,829001928436245,1,PrimeraVez,317027,A2,,6,Referencia Vencida,'2023-11-18 00:55:01.417',4,Dea
319346,5,1D1D1D1D1D,ramon.valdez@yopmail.com,ramon,valdez,'2000-12-12',1,3104444319,149032,6200,82705,10127,836000459625421,1,PrimeraVez,317028,A2,,4,Usado,'2022-09-08 16:09:23.293',4,Dea
319347,5,12D12D1ddd,ramon.valdez@yopmail.com,ramon,valdez,'2000-12-12',1,3104444319,149032,6200,82705,10127,842000989422285,1,PrimeraVez,317029,A2,,3,Anulado,'2021-09-28 11:56:12.313',4,Dea
319347,5,12D12D1ddd,ramon.valdez@yopmail.com,ramon,valdez,'2000-12-12',1,3104444319,149032,6200,82705,10127,842000989422285,1,PrimeraVez,317030,A2,,3,Anulado,'2021-09-28 11:56:12.313',4,Dea
319348,5,123456EEEE,ramon.valdez@yopmail.com,ramon,valdez Velez,'2000-01-01',2,3104444319,124032,6200,82705,10127,815001988205742,3,Recategorizar,317031,B2,,3,Anulado,'2021-09-28 12:38:09.597',4,Dea
319348,5,123456EEEE,ramon.valdez@yopmail.com,ramon,valdez Velez,'2000-01-01',2,3104444319,124032,6200,82705,10127,815001988205742,3,Recategorizar,317031,B2,,3,Anulado,'2021-09-28 12:48:04.730',4,Dea
319348,5,123456EEEE,ramon.valdez@yopmail.com,ramon,valdez Velez,'2000-01-01',2,3104444319,124032,6200,82705,10127,815001988205742,3,Recategorizar,317032,B2,,3,Anulado,'2021-09-28 12:38:09.597',4,Dea
319348,5,123456EEEE,ramon.valdez@yopmail.com,ramon,valdez Velez,'2000-01-01',2,3104444319,124032,6200,82705,10127,815001988205742,3,Recategorizar,317032,B2,,3,Anulado,'2021-09-28 12:48:04.730',4,Dea
